default looping (python)	default looping (python)	default looping (python)	default shifting with single init (python)	default shifting with single init (python)	default shifting with single init (python)	default shifting (c++), iteration in c++, single init	default shifting (c++), iteration in c++, single init	default shifting (c++), iteration in c++, single init	t-score	p-value	is significant
mean	std	sample size	mean	std	sample size	mean	std	sample size			
0.5912474224	0.0212856208	70	1.0222605297	0.0154773208	70	0.0510828836	0.0105772731	70	-137.0220249493	0.0000000000	True
0.6857565471	0.0215856927	70	1.0438476290	0.0050545531	70	0.0501632690	0.0165170126	70	-135.1403071284	0.0000000000	True
0.8195093700	0.0169030880	70	1.0411228452	0.0072006350	70	0.0493764877	0.0017851396	70	-100.9177187794	0.0000000000	True
0.9753397533	0.0183044932	70	1.0405472347	0.0052734906	70	0.0475508826	0.0017062871	70	-28.6400913792	0.0000000000	True
1.1758123125	0.0192305426	70	1.0313238416	0.0131904215	70	0.0550746918	0.0026595010	70	51.8396688496	0.0000000000	True
1.4697756086	0.0302559939	70	1.0410990034	0.0036585613	70	0.0552960805	0.0022961583	70	117.6834269627	0.0000000000	True
1.8562248775	0.0455024943	70	1.0452951704	0.0114105607	70	0.0595739910	0.0118022819	70	144.6285363986	0.0000000000	True
2.5230680193	0.0763926521	70	1.0294233050	0.0165714336	70	0.0544854573	0.0019059523	70	159.8673364319	0.0000000000	True
3.7988015584	0.2058760444	70	1.0434934071	0.0045308351	70	0.0561475754	0.0033980772	70	111.9459111400	0.0000000000	True
7.4881655829	0.2364264573	70	1.0468653270	0.0055538037	70	0.0571114676	0.0020618868	70	227.8802558814	0.0000000000	True
80.2416665213	16.1429246736	70	1.0426657540	0.0648685798	70	0.0573737281	0.0022657958	70	41.0471487929	0.0000000000	True
