default looping (python)	default looping (python)	default looping (python)	default shifting with single init (python)	default shifting with single init (python)	default shifting with single init (python)	default shifting (c++), iteration in c++, single init	default shifting (c++), iteration in c++, single init	default shifting (c++), iteration in c++, single init	t-score	p-value	is significant
mean	std	sample size	mean	std	sample size	mean	std	sample size			
0.5239009857	0.0206580506	70	0.5956241063	0.0314357579	70	0.0275305339	0.0083585275	70	-15.9527595604	0.0000000000	True
0.6198678698	0.0528020262	70	0.5923475538	0.0272160464	70	0.0433615276	0.0127048837	70	3.8760639649	0.0002390605	True
0.7121528898	0.0197658921	70	0.5841323308	0.0174374173	70	0.0492640904	0.0062277889	70	40.6362110854	0.0000000000	True
0.8595705032	0.0281822272	70	0.5890505654	0.0224468234	70	0.0545842307	0.0099507689	70	62.8195166364	0.0000000000	True
1.0487794876	0.0348030734	70	0.5882808140	0.0320176476	70	0.0586850303	0.0019366222	70	81.4712250149	0.0000000000	True
1.2969459806	0.0530956148	70	0.5916084562	0.0385565840	70	0.0613757542	0.0094189842	70	89.9334757051	0.0000000000	True
1.6409158707	0.0443206287	70	0.5906002862	0.0288991766	70	0.0635317394	0.0064940351	70	166.0848823742	0.0000000000	True
2.2116184235	0.0761618237	70	0.5833625793	0.0180451119	70	0.0639404569	0.0024140709	70	174.0501201870	0.0000000000	True
3.3503600529	0.0966743225	70	0.5862542561	0.0260686275	70	0.0673702785	0.0066281800	70	230.9674103676	0.0000000000	True
6.7200558526	0.2745646985	70	0.5882569722	0.0363738829	70	0.0617163522	0.0018508609	70	185.2312399414	0.0000000000	True
73.5952786037	16.2950410012	70	0.5951404572	0.0405298481	70	0.0526053565	0.0019386129	70	37.4814083581	0.0000000000	True
